lb,ub,real cnt,guessed cnt
0,0,29849,24253
1,24,0,171
25,195,6,49
196,586,2,26
587,635,34,211
636,977,8,44
978,1075,30,52
1076,1367,16,28
1368,1562,33,64
1563,1953,21,26
1954,2173,23,65
2174,2197,71,240
2198,2392,50,47
2393,2588,51,67
2589,2759,36,69
2760,2832,31,123
2833,2978,58,68
2979,3100,2,50
3101,3137,134,316
3138,3320,6,91
3321,3369,53,174
3370,3455,33,143
3456,3589,33,70
3590,3760,14,49
3761,3809,12,127
3810,3925,45,103
3926,4053,14,71
4054,4102,62,191
4103,4371,0,47
4372,4395,70,227
4396,4639,24,63
4640,4687,44,188
4688,4981,48,62
4982,5030,69,299
5031,5176,1,31
5177,5201,97,298
5202,5273,0,120
5274,6249,20,23
6250,6543,28,28
6544,6836,7,28
6837,6885,27,164
6886,7080,0,67
7081,7276,0,47
7277,7301,246,335
7302,7422,0,136
7423,7666,14,29
7667,7691,284,335
7692,7812,0,33
7813,8593,4,10
8594,8618,55,161
8619,8789,0,49
8790,9374,0,24
9375,9570,26,47
9571,9765,0,30
9766,10352,0,24
10353,10499,0,90
10500,10523,43,178
10524,10645,18,50
10646,10937,0,45
10938,12499,2,8
12500,13281,0,10
13282,13526,0,29
13527,13575,27,102
13576,14062,0,26
14063,14111,41,195
14112,14307,0,47
14308,14453,26,112
14454,14843,0,11
14844,15015,0,49
15016,15039,352,400
15040,15624,0,24
15625,18749,8,6
18750,19531,0,10
19532,19727,0,67
19728,20020,0,45
20021,20069,37,233
20070,20312,0,29
20313,21874,0,8
21875,23437,1,8
23438,23633,0,47
23634,24218,0,24
24219,24999,0,10
25000,26562,15,8
26563,27343,0,10
27344,27832,34,26
27833,28124,0,62
28125,29297,0,21
29298,29687,0,26
29688,31249,0,8
31250,37499,5,5
37500,49999,2,3
50000,74999,0,1
75000,87499,0,3
87500,93749,0,5
93750,96874,0,6
96875,98437,0,8
98438,99218,0,22
99219,99804,0,24
99805,99951,0,132
99952,99999,159,228
